,year,JD,ID,TimeDiff,AOD
2000-02-26 03:25:00,2000,057,20000570325,0.15342465753424658,0.1880975
2000-02-27 04:10:00,2000,058,20000580410,0.15616438356164383,0.236035
2000-02-28 03:15:00,2000,059,20000590315,0.1589041095890411,0.7239380053908355
2000-02-29 03:55:00,2000,060,20000600355,0.16164383561643836,0.6175775
2000-03-05 04:15:00,2000,065,20000650415,0.17534246575342466,0.8149293785310734
2000-03-06 03:20:00,2000,066,20000660320,0.1780821917808219,0.2310670731707317
2000-03-08 03:10:00,2000,068,20000680310,0.18356164383561643,0.39126196473551633
2000-03-11 03:40:00,2000,071,20000710340,0.1917808219178082,1.1359127516778524
2000-03-12 04:20:00,2000,072,20000720420,0.19452054794520549,0.93449
2000-03-16 03:55:00,2000,076,20000760355,0.2054794520547945,0.7142729658792651
2000-03-19 02:50:00,2000,079,20000790250,0.2136986301369863,0.34735327635327634
2000-03-24 03:10:00,2000,084,20000840310,0.2273972602739726,0.6074579439252337
2000-03-26 02:55:00,2000,086,20000860255,0.2328767123287671,0.22086250000000002
2000-03-28 02:45:00,2000,088,20000880245,0.23835616438356164,0.2743697478991597
2000-03-28 04:20:00,2000,088,20000880420,0.23835616438356164,0.2276825
2000-03-29 03:25:00,2000,089,20000890325,0.2410958904109589,0.2829275
2000-03-30 04:10:00,2000,090,20000900410,0.24383561643835616,0.9168275
2000-03-31 03:15:00,2000,091,20000910315,0.2465753424657534,0.45613
2000-04-04 02:50:00,2000,095,20000950250,0.25753424657534246,0.5579925
2000-04-05 03:35:00,2000,096,20000960335,0.2602739726027397,0.239
2000-04-12 03:40:00,2000,103,20001030340,0.27945205479452057,0.6451399999999999
2000-04-15 04:10:00,2000,106,20001060410,0.2876712328767123,0.2316775
2000-04-16 03:15:00,2000,107,20001070315,0.29041095890410956,0.1483375
2000-04-17 04:00:00,2000,108,20001080400,0.29315068493150687,0.4347
2000-04-21 03:35:00,2000,112,20001120335,0.3041095890410959,0.7689199999999999
2000-04-22 04:15:00,2000,113,20001130415,0.30684931506849317,0.2420575
2000-04-24 04:05:00,2000,115,20001150405,0.31232876712328766,0.5323675
2000-04-30 03:30:00,2000,121,20001210330,0.3287671232876712,0.09719434628975264
2000-05-01 04:10:00,2000,122,20001220410,0.3315068493150685,0.36014749999999995
2000-05-02 03:15:00,2000,123,20001230315,0.33424657534246577,0.5591723076923076
2000-05-03 04:00:00,2000,124,20001240400,0.336986301369863,0.504845
2000-05-06 02:50:00,2000,127,20001270250,0.3452054794520548,0.1807825
2000-05-07 03:35:00,2000,128,20001280335,0.34794520547945207,0.30521470588235294
2000-05-09 03:20:00,2000,130,20001300320,0.35342465753424657,0.6068039215686274
2000-05-10 04:05:00,2000,131,20001310405,0.3561643835616438,0.18650999999999998
2000-05-13 02:55:00,2000,134,20001340255,0.3643835616438356,0.8015950000000001
2000-05-18 03:15:00,2000,139,20001390315,0.3780821917808219,0.1887725
2000-05-19 03:55:00,2000,140,20001400355,0.38082191780821917,0.26766500000000004
2000-05-20 03:00:00,2000,141,20001410300,0.3835616438356164,0.32393
2000-05-21 03:45:00,2000,142,20001420345,0.3863013698630137,0.3730025
2000-05-22 02:50:00,2000,143,20001430250,0.38904109589041097,0.5020899999999999
2000-05-31 02:45:00,2000,152,20001520245,0.4136986301369863,0.7320786163522013
2000-06-06 03:45:00,2000,158,20001580345,0.4301369863013699,0.42155750000000003
2000-06-08 03:35:00,2000,160,20001600335,0.43561643835616437,0.0406951566951567
2000-06-11 04:05:00,2000,163,20001630405,0.4438356164383562,1.052681967213115
2000-06-12 03:10:00,2000,164,20001640310,0.4465753424657534,0.7230850000000001
2000-06-13 03:50:00,2000,165,20001650350,0.44931506849315067,0.546250626566416
2000-06-14 02:55:00,2000,166,20001660255,0.4520547945205479,0.6497025
2000-06-15 03:40:00,2000,167,20001670340,0.4547945205479452,0.4895721518987342
2000-06-16 02:45:00,2000,168,20001680245,0.4575342465753425,0.7883246073298429
2000-06-17 03:25:00,2000,169,20001690325,0.4602739726027397,0.8476417525773197
2000-06-23 02:50:00,2000,175,20001750250,0.4767123287671233,1.0205325
2000-06-29 03:50:00,2000,181,20001810350,0.4931506849315068,0.6367575000000001
2000-06-30 02:55:00,2000,182,20001820255,0.4958904109589041,0.977595
2000-07-10 03:35:00,2000,192,20001920335,0.5232876712328767,1.4109125
2000-07-13 04:05:00,2000,195,20001950405,0.5315068493150685,0.3972058823529412
2000-07-21 03:15:00,2000,203,20002030315,0.5534246575342465,0.6856027027027027
2000-07-30 03:05:00,2000,212,20002120305,0.5780821917808219,0.0325968992248062
2000-07-31 03:50:00,2000,213,20002130350,0.5808219178082191,0.0340625
2000-08-20 03:25:00,2000,233,20002330325,0.6356164383561644,0.9936416184971097
2000-08-24 03:00:00,2000,237,20002370300,0.6465753424657534,0.7568888888888889
2000-08-25 03:45:00,2000,238,20002380345,0.6493150684931507,0.7279373134328359
2000-08-27 03:35:00,2000,240,20002400335,0.6547945205479452,0.36286250000000003
2000-09-01 03:50:00,2000,245,20002450350,0.6684931506849315,0.8127975000000001
2000-09-08 03:55:00,2000,252,20002520355,0.6876712328767123,0.6449600000000001
2000-09-12 03:35:00,2000,256,20002560335,0.6986301369863014,0.31132
